tract,metric,method,big40_idp_number,icvf_idp_number,download_url,gwas_sample_size
Posterior_limb_of_internal_capsule_L,OD,TBSS,2017,1921,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2017.txt.gz,33224
Retrolenticular_part_of_internal_capsule_L,FA,TBSS,1635,1923,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1635.txt.gz,33224
Retrolenticular_part_of_internal_capsule_L,MD,TBSS,1683,1923,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1683.txt.gz,33224
Retrolenticular_part_of_internal_capsule_L,ISOVF,TBSS,1971,1923,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1971.txt.gz,33224
Retrolenticular_part_of_internal_capsule_L,OD,TBSS,2019,1923,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2019.txt.gz,33224
Retrolenticular_part_of_internal_capsule_R,FA,TBSS,1634,1922,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1634.txt.gz,33224
Retrolenticular_part_of_internal_capsule_R,MD,TBSS,1682,1922,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1682.txt.gz,33224
Retrolenticular_part_of_internal_capsule_R,ISOVF,TBSS,1970,1922,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1970.txt.gz,33224
Retrolenticular_part_of_internal_capsule_R,OD,TBSS,2018,1922,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2018.txt.gz,33224
Sagittal_stratum_L,FA,TBSS,1645,1933,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1645.txt.gz,33224
Sagittal_stratum_L,MD,TBSS,1693,1933,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1693.txt.gz,33224
Sagittal_stratum_L,ISOVF,TBSS,1981,1933,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1981.txt.gz,33224
Sagittal_stratum_L,OD,TBSS,2029,1933,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2029.txt.gz,33224
Sagittal_stratum_R,FA,TBSS,1644,1932,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1644.txt.gz,33224
Sagittal_stratum_R,MD,TBSS,1692,1932,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1692.txt.gz,33224
Sagittal_stratum_R,ISOVF,TBSS,1980,1932,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1980.txt.gz,33224
Sagittal_stratum_R,OD,TBSS,2028,1932,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2028.txt.gz,33224
Superior_corona_radiata_L,FA,TBSS,1639,1927,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1639.txt.gz,33224
Superior_corona_radiata_L,MD,TBSS,1687,1927,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1687.txt.gz,33224
Superior_corona_radiata_L,ISOVF,TBSS,1975,1927,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1975.txt.gz,33224
Superior_corona_radiata_L,OD,TBSS,2023,1927,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2023.txt.gz,33224
Superior_corona_radiata_R,FA,TBSS,1638,1926,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1638.txt.gz,33224
Superior_corona_radiata_R,MD,TBSS,1686,1926,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1686.txt.gz,33224
Superior_corona_radiata_R,ISOVF,TBSS,1974,1926,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1974.txt.gz,33224
Superior_corona_radiata_R,OD,TBSS,2022,1926,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2022.txt.gz,33224
ar_r,FA,ProbtrackX,1789,1951,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1789.txt.gz,33224
ar_r,MD,ProbtrackX,1816,1951,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1816.txt.gz,33224
ar_r,ISOVF,ProbtrackX,1978,1951,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1978.txt.gz,33224
ar_r,OD,ProbtrackX,2005,1951,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2005.txt.gz,33224
fma,FA,ProbtrackX,1798,1960,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1798.txt.gz,33224
fma,MD,ProbtrackX,1825,1960,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1825.txt.gz,33224
fma,ISOVF,ProbtrackX,1987,1960,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1987.txt.gz,33224
fma,OD,ProbtrackX,2014,1960,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2014.txt.gz,33224
cgh_r,FA,ProbtrackX,1795,1957,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1795.txt.gz,33224
cgh_r,MD,ProbtrackX,1822,1957,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1822.txt.gz,33224
cgh_r,ISOVF,ProbtrackX,1984,1957,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1984.txt.gz,33224
cgh_r,OD,ProbtrackX,2011,1957,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2011.txt.gz,33224
